T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9961329    0.030876739     0.26987915   0.0035588175     0.99876133
      1.0000000     -1.9961446    0.030783916     0.27207831   0.0035481166     0.99876506
      1.0000000     -1.9961562    0.030691650     0.27426426   0.0035374798     0.99876877
      1.0000000     -1.9960479    0.031554290     0.27115269   0.0036761582     0.99872754
      1.0000000     -1.9960597    0.031460284     0.26735821   0.0036652038     0.99873134
      1.0000000     -1.9960714    0.031366837     0.26358631   0.0036543146     0.99873512
      1.0000000     -1.9960831    0.031273943     0.25983680   0.0036434899     0.99873887
      1.0000000     -1.9960947    0.031181597     0.25610947   0.0036327291     0.99874260
      1.0000000     -1.9961062    0.031089796     0.25240413   0.0036220317     0.99874631
      1.0000000     -1.9960588    0.031467280     0.25033824   0.0037287465     0.99872059
      1.0000000     -1.9960704    0.031375183     0.25253666   0.0037178309     0.99872434
      1.0000000     -1.9960819    0.031283622     0.25472222   0.0037069791     0.99872807
      1.0000000     -1.9960933    0.031192595     0.25689504   0.0036961904     0.99873178
      1.0000000     -1.9961047    0.031102096     0.25905523   0.0036854643     0.99873547
      1.0000000     -1.9961159    0.031012120     0.26120290   0.0036748003     0.99873913
      1.0000000     -1.9961272    0.030922664     0.26333815   0.0036641978     0.99874277
      1.0000000     -1.9961383    0.030833722     0.26546110   0.0036536563     0.99874640
      1.0000000     -1.9961494    0.030745290     0.26757184   0.0036431753     0.99875000
      1.0000000     -1.9961605    0.030657364     0.26967049   0.0036327542     0.99875358
      1.0000000     -1.9961714    0.030569940     0.27175714   0.0036223927     0.99875714
      1.0000000     -1.9961823    0.030483012     0.27383191   0.0036120900     0.99876068
